Reported outcome;Response time;Exclusion;TP;The ratio between the dice roll and the possible reward is...;What is the chance that you will get the reward?;My dice role was fully anonymous-only I could know what I rolled.;Several students will receive a monetary reward for the dice under cup game.;Gender;Age;Native language dutch;Native language other;Nationality dutch;Nationality other;Education
6;2,195;0;1;The reward (in euro) is four times the outcome of the dice roll.;30;Strongly believe;Strongly do not believe;2;20;1;;1;;2
6;9,198;1;1;The reward (in euro) is equal to the outcome of the dice roll.;0;Strongly believe;Strongly do not believe;1;19;1;;1;;2
6;11,007;1;1;The reward (in euro) is two times the outcome of the dice roll.;12;Neutral;Do not believe;1;18;1;;1;;2
1;5,566;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Do not believe;Do not believe;1;18;1;;1;;2
4;5,672;0;0;The reward (in euro) is equal to the outcome of the dice roll.;100;Strongly believe;Strongly believe;1;19;1;;1;;2
1;5,347;0;1;The reward (in euro) is two times the outcome of the dice roll.;75;Strongly believe;Believe;1;19;1;;1;;2
6;13,481;0;0;The reward (in euro) is equal to the outcome of the dice roll.;1;Believe;Do not believe;1;19;1;;1;;2
2;8,967;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Strongly do not believe;2;20;1;;1;;2
2;4,235;0;1;The reward (in euro) is two times the outcome of the dice roll.;82;Believe;Neutral;1;20;1;;1;;2
3;4,815;0;0;The reward (in euro) is two times the outcome of the dice roll.;13;Believe;Do not believe;2;18;1;;1;;2
6;9,795;0;0;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Neutral;1;19;1;;1;;9
2;7,946;0;0;The reward (in euro) is two times the outcome of the dice roll.;38;Strongly believe;Strongly believe;1;18;1;1;1;;2
1;16,143;0;0;The reward (in euro) is two times the outcome of the dice roll.;20;Strongly believe;Neutral;1;19;1;;1;;2
1;7,396;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Strongly believe;1;18;1;1;1;;2
5;8,644;0;0;The reward (in euro) is two times the outcome of the dice roll.;50;Believe;Neutral;1;19;1;;1;;3
4;2,285;0;1;The reward (in euro) is two times the outcome of the dice roll.;7;Strongly believe;Do not believe;1;19;1;;1;;2
1;5,142;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Strongly do not believe;1;18;1;;1;;2
6;6,786;0;1;The reward (in euro) is two times the outcome of the dice roll.;20;Strongly do not believe;Do not believe;1;18;1;;1;;9
3;5,61;0;1;The reward (in euro) is two times the outcome of the dice roll.;20;Believe;Do not believe;1;18;1;;1;;2
2;8,295;0;0;The reward (in euro) is two times the outcome of the dice roll.;33;Do not believe;Strongly do not believe;2;18;1;;1;;9
3;6,73;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Neutral;1;20;1;;1;;2
1;5,398;0;1;The reward (in euro) is two times the outcome of the dice roll.;19;Strongly believe;Neutral;1;18;1;;1;;2
1;10,142;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Believe;Neutral;1;18;1;;1;;2
5;9,482;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Do not believe;1;19;1;;1;;2
6;5,099;0;0;The reward (in euro) is two times the outcome of the dice roll.;36;Strongly believe;Do not believe;1;18;1;;1;1;2
6;6,733;0;1;The reward (in euro) is two times the outcome of the dice roll.;4;Believe;Neutral;2;21;1;;1;;5
2;4,184;0;1;The reward (in euro) is half of the outcome of the dice roll.;0;Strongly believe;Do not believe;1;18;1;;1;;2
1;4,105;0;1;The reward (in euro) is two times the outcome of the dice roll.;13;Strongly believe;Strongly believe;1;18;1;;1;;2
3;6,215;0;1;The reward (in euro) is two times the outcome of the dice roll.;100;Do not believe;Do not believe;1;23;1;;1;;3
1;3,637;0;1;The reward (in euro) is two times the outcome of the dice roll.;20;Strongly believe;Neutral;1;21;1;;1;;2
3;5,582;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Do not believe;1;19;1;;1;;2
2;4,88;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly do not believe;Strongly believe;1;18;1;;1;;2
2;9,658;0;0;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Do not believe;1;21;1;;1;;3
1;8,062;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Believe;2;19;1;;1;;2
5;12,69;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Believe;1;17;1;;1;;2
4;8,504;0;0;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Neutral;2;18;1;;;1;2
6;8,533;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Do not believe;1;18;1;;1;;2
6;25,684;0;0;The reward (in euro) is two times the outcome of the dice roll.;3;Believe;Believe;2;19;1;;1;1;2
1;5,621;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Believe;1;18;1;;1;;2
6;3,379;0;1;The reward (in euro) is equal to the outcome of the dice roll.;3;Strongly believe;Strongly believe;1;18;1;;1;;2
2;30,239;0;0;The reward (in euro) is two times the outcome of the dice roll.;17;Neutral;Do not believe;1;19;1;;1;;2
2;41,424;0;0;The reward (in euro) is two times the outcome of the dice roll.;31;Believe;Do not believe;1;21;1;;1;;3
4;9,675;0;0;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Believe;1;18;1;;1;;2
1;4,85;0;1;The reward (in euro) is two times the outcome of the dice roll.;11;Strongly believe;Do not believe;1;19;1;;1;;2
6;7,33;0;0;The reward (in euro) is two times the outcome of the dice roll.;15;Strongly believe;Do not believe;1;19;1;;1;;2
4;7,32;0;0;The reward (in euro) is two times the outcome of the dice roll.;50;Believe;Neutral;1;20;1;;1;;2
6;6,538;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Believe;1;19;1;;1;;2
1;3,512;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Believe;2;20;1;;1;;2
5;10,997;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Strongly believe;1;18;1;;1;;2
3;6,982;0;0;The reward (in euro) is two times the outcome of the dice roll.;30;Strongly believe;Neutral;1;18;1;;1;;2
6;5,612;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Strongly do not believe;2;22;1;;1;;2
2;8,689;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Strongly do not believe;2;22;1;;1;;3
3;9,352;0;0;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Neutral;1;20;1;;1;;2
4;7,425;0;0;The reward (in euro) is two times the outcome of the dice roll.;3;Neutral;Do not believe;1;20;1;1;1;1;2
2;11,826;0;0;The reward (in euro) is two times the outcome of the dice roll.;19;Strongly believe;Believe;1;20;1;;1;;2
5;6,932;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Do not believe;1;18;1;;1;;2
1;5,598;0;1;The reward (in euro) is two times the outcome of the dice roll.;15;Strongly believe;Neutral;1;18;1;;1;;2
1;5,385;0;1;The reward (in euro) is two times the outcome of the dice roll.;3;Strongly believe;Neutral;1;18;1;;1;;2
4;17,197;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Neutral;Neutral;1;20;1;;1;1;2
5;4,507;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Do not believe;1;18;1;;1;;2
4;6,783;0;1;The reward (in euro) is two times the outcome of the dice roll.;6;Strongly believe;Believe;1;17;1;;1;;2
4;7,069;0;0;The reward (in euro) is two times the outcome of the dice roll.;15;Believe;Neutral;1;19;1;;1;;2
5;2,058;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Neutral;1;19;1;;1;;2
5;19,774;0;0;The reward (in euro) is two times the outcome of the dice roll.;25;Neutral;Believe;1;18;1;;1;;2
6;7,081;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Neutral;Strongly do not believe;2;19;1;;1;;2
2;4,332;0;1;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Neutral;1;18;1;;1;;2
2;6,475;0;0;The reward (in euro) is two times the outcome of the dice roll.;51;Do not believe;Believe;1;19;1;;1;;2
3;18,063;0;0;The reward (in euro) is equal to the outcome of the dice roll.;51;Believe;Do not believe;1;21;1;;1;;3
5;6,34;0;0;The reward (in euro) is two times the outcome of the dice roll.;20;Believe;Do not believe;1;24;1;;1;;3
4;5,23;0;1;The reward (in euro) is equal to the outcome of the dice roll.;18;Strongly believe;Do not believe;1;18;1;;1;;2
2;3,674;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Neutral;Strongly do not believe;1;19;1;;1;;2
2;3,514;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Do not believe;1;19;1;;1;;2
3;6,135;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Strongly do not believe;1;19;1;;1;;2
4;6,512;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Strongly do not believe;2;18;1;;1;;2
5;19,68;0;0;The reward (in euro) is two times the outcome of the dice roll.;100;Believe;Strongly do not believe;2;19;1;;1;;2
6;7,55;0;0;The reward (in euro) is two times the outcome of the dice roll.;15;Strongly believe;Believe;1;18;1;;1;;2
5;6,366;0;1;The reward (in euro) is equal to the outcome of the dice roll.;60;Strongly believe;Believe;1;20;1;;1;;5
4;1,495;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Strongly do not believe;1;21;1;;1;;2
2;3,955;0;1;The reward (in euro) is equal to the outcome of the dice roll.;17;Believe;Neutral;1;19;1;;1;;9
6;8,243;1;1;The reward (in euro) is two times the outcome of the dice roll.;7;Do not believe;Neutral;1;19;1;;1;;2
5;5,557;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Believe;Neutral;1;19;1;;1;;2
2;5,108;0;1;The reward (in euro) is two times the outcome of the dice roll.;19;Strongly believe;Neutral;1;17;1;;1;;2
6;2,473;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Believe;1;22;1;;1;;2
1;6,753;0;0;The reward (in euro) is two times the outcome of the dice roll.;20;Believe;Do not believe;1;19;1;;1;;2
2;5,325;0;1;The reward (in euro) is two times the outcome of the dice roll.;6;Strongly believe;Believe;1;19;1;;1;;2
3;4,822;0;1;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Neutral;2;20;1;;1;;2
6;5,509;0;0;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Strongly do not believe;1;18;1;;1;;2
2;6,84;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Neutral;Neutral;2;23;1;;1;;2
5;8,119;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Strongly do not believe;2;30;1;;1;;3
4;10,784;0;0;The reward (in euro) is two times the outcome of the dice roll.;16;Believe;Believe;1;18;1;;1;;2
5;5,791;0;1;The reward (in euro) is two times the outcome of the dice roll.;18;Do not believe;Strongly believe;1;18;1;;1;;2
5;8,6;1;1;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Strongly do not believe;1;25;1;;1;;5
1;6,136;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Believe;1;19;1;;1;;2
2;4,916;0;1;The reward (in euro) is equal to the outcome of the dice roll.;57;Strongly do not believe;Do not believe;1;20;1;;1;;2
5;9,415;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Neutral;2;35;1;;1;;3
4;3,501;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Believe;Believe;1;20;1;;1;;5
2;10,269;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Believe;Do not believe;2;18;1;;1;;2
3;4,17;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Do not believe;Neutral;1;19;1;;1;;2
6;9,13;0;0;The reward (in euro) is two times the outcome of the dice roll.;33;Believe;Neutral;1;19;1;;1;;5
2;3,775;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Do not believe;Do not believe;1;23;1;;1;;2
4;7,752;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Believe;1;19;1;;1;;2
1;5,427;0;0;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Do not believe;1;19;1;;1;;2
2;6,613;0;1;The reward (in euro) is two times the outcome of the dice roll.;15;Strongly believe;Believe;2;20;1;;1;;2
5;13,103;1;1;The reward (in euro) is two times the outcome of the dice roll.;17;Strongly believe;Strongly do not believe;2;19;1;;1;;2
5;3,761;0;1;The reward (in euro) is two times the outcome of the dice roll.;9;Strongly believe;Strongly believe;1;20;1;;1;;2
4;4,204;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Neutral;1;18;1;;1;;2
3;5,172;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Believe;1;19;1;;1;;2
3;13,662;0;0;The reward (in euro) is two times the outcome of the dice roll.;30;Believe;Believe;1;18;1;;1;;2
2;7,141;0;0;The reward (in euro) is two times the outcome of the dice roll.;17;Strongly believe;Strongly do not believe;1;20;1;;1;;3
5;6,825;0;0;The reward (in euro) is two times the outcome of the dice roll.;20;Do not believe;Neutral;1;18;1;;1;;2
5;5,184;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Believe;1;19;1;;1;;2
3;7,538;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Do not believe;Believe;1;20;1;;1;;9
6;6,583;0;0;The reward (in euro) is two times the outcome of the dice roll.;17;Strongly believe;Do not believe;1;18;1;;1;;2
5;3,407;0;1;The reward (in euro) is two times the outcome of the dice roll.;60;Strongly believe;Believe;1;18;1;;1;;2
4;12,193;1;1;The reward (in euro) is equal to the outcome of the dice roll.;61;Do not believe;Do not believe;1;18;1;;1;;2
2;17,78;1;1;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Strongly believe;2;20;1;;1;;2
6;5,378;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Believe;2;18;1;;1;;3
4;4,202;0;1;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Strongly do not believe;2;19;1;;1;;2
6;4,195;0;1;The reward (in euro) is equal to the outcome of the dice roll.;1;Do not believe;Strongly do not believe;1;21;1;;1;;2
4;3,82;0;1;The reward (in euro) is two times the outcome of the dice roll.;6;Believe;Believe;1;18;1;;1;;2
6;11,643;0;0;The reward (in euro) is two times the outcome of the dice roll.;11;Believe;Do not believe;1;19;1;;1;;5
2;8,44;0;0;The reward (in euro) is two times the outcome of the dice roll.;15;Strongly believe;Believe;1;19;1;;1;;2
4;6,3;0;0;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Strongly believe;1;21;1;;1;;5
1;3,899;0;1;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Believe;2;18;1;;1;;2
6;21,811;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Believe;Do not believe;2;19;1;;1;;5
2;7,478;0;1;The reward (in euro) is two times the outcome of the dice roll.;16;Believe;Neutral;1;18;1;;1;;2
4;5,895;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Do not believe;1;18;1;;1;;2
1;8,545;1;1;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Do not believe;2;21;1;;1;;2
3;4,195;0;1;The reward (in euro) is two times the outcome of the dice roll.;20;Strongly believe;Believe;1;18;1;;1;;2
6;10,027;0;0;The reward (in euro) is two times the outcome of the dice roll.;64;Strongly believe;Believe;1;19;1;;1;;2
3;5,387;0;1;The reward (in euro) is two times the outcome of the dice roll.;13;Believe;Do not believe;1;18;1;;1;;3
3;6,586;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Do not believe;1;20;1;;1;1;2
6;5,81;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Neutral;Do not believe;1;20;1;1;1;;2
5;7,003;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Do not believe;2;19;1;;1;;2
4;10,41;1;1;The reward (in euro) is two times the outcome of the dice roll.;15;Believe;Believe;1;18;1;;1;;2
6;5,495;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Believe;1;19;1;;1;;2
2;11,208;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Believe;Neutral;1;20;1;;1;;2
2;8,318;0;0;The reward (in euro) is four times the outcome of the dice roll.;15;Believe;Do not believe;1;18;1;;1;;2
3;5,444;0;1;The reward (in euro) is two times the outcome of the dice roll.;9;Strongly believe;Believe;2;19;1;;1;1;9
4;4,027;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Neutral;2;21;1;;1;;3
2;6,254;0;0;The reward (in euro) is two times the outcome of the dice roll.;3;Strongly believe;Do not believe;1;20;1;;1;;2
1;7,537;0;0;The reward (in euro) is half of the outcome of the dice roll.;10;Believe;Neutral;1;18;1;;1;;2
4;27,998;1;1;The reward (in euro) is two times the outcome of the dice roll.;28;Believe;Neutral;2;18;1;;1;;2
5;6,221;0;1;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Believe;2;21;1;;1;;2
3;5,785;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Believe;Neutral;1;19;1;;1;;5
6;7,685;0;0;The reward (in euro) is two times the outcome of the dice roll.;30;Believe;Neutral;1;19;1;;1;;2
6;4,929;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Neutral;1;17;1;;1;;2
4;5,517;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Believe;1;25;1;;1;;5
5;3,65;0;1;The reward (in euro) is two times the outcome of the dice roll.;6;Believe;Neutral;1;18;1;;1;;2
6;2,191;0;1;The reward (in euro) is two times the outcome of the dice roll.;23;Believe;Strongly do not believe;2;18;;1;;1;4
2;5,646;0;1;The reward (in euro) is two times the outcome of the dice roll.;69;Strongly believe;Believe;2;24;;1;;1;2
