Gender;Time_pressure;Experiment;Dice_report;Report_time;Within_time;Cheerful;active;active2;happy;loving;worried;tired;tired2;angry;calm;gloomy;bored;sad;tense;angry2;satisfied;pos_mood;neg_mood;filter_$
2.00;0.00;1.00;1.00;36.22;1.00;2.00;2.00;2.00;2.00;2.00;3.00;3.00;3.00;2.00;3.00;2.00;3.00;3.00;2.00;3.00;3.00;2.29;2.67;0
1.00;0.00;1.00;2.00;27.75;1.00;2.00;2.00;2.00;3.00;1.00;1.00;4.00;2.00;1.00;4.00;2.00;3.00;3.00;3.00;1.00;2.00;2.29;2.22;0
1.00;0.00;1.00;3.00;26.70;1.00;2.00;1.00;1.00;2.00;1.00;1.00;2.00;1.00;1.00;5.00;2.00;2.00;1.00;1.00;1.00;1.00;1.86;1.33;0
2.00;0.00;1.00;5.00;22.49;1.00;2.00;2.00;2.00;3.00;4.00;2.00;4.00;4.00;3.00;2.00;2.00;3.00;3.00;4.00;4.00;3.00;2.57;3.22;0
2.00;0.00;1.00;5.00;17.81;1.00;2.00;4.00;4.00;2.00;3.00;4.00;4.00;4.00;3.00;2.00;3.00;2.00;2.00;3.00;3.00;2.00;2.71;3.11;0
2.00;0.00;1.00;6.00;25.69;1.00;2.00;2.00;2.00;3.00;5.00;1.00;3.00;2.00;1.00;4.00;1.00;3.00;1.00;2.00;1.00;3.00;3.00;1.67;0
2.00;0.00;1.00;6.00;19.85;1.00;2.00;3.00;3.00;2.00;4.00;5.00;4.00;4.00;1.00;2.00;1.00;2.00;4.00;4.00;1.00;2.00;2.57;2.89;0
1.00;0.00;1.00;1.00;11.44;1.00;3.00;3.00;3.00;3.00;2.00;2.00;2.00;2.00;2.00;3.00;2.00;2.00;2.00;3.00;2.00;2.00;2.71;2.11;0
2.00;0.00;1.00;1.00;19.63;1.00;3.00;2.00;2.00;3.00;4.00;2.00;3.00;3.00;1.00;3.00;3.00;4.00;2.00;2.00;1.00;3.00;2.86;2.33;0
2.00;0.00;1.00;1.00;32.43;1.00;3.00;3.00;3.00;4.00;4.00;1.00;4.00;3.00;1.00;4.00;1.00;1.00;1.00;1.00;1.00;4.00;3.57;1.56;0
2.00;0.00;1.00;2.00;40.51;1.00;3.00;4.00;4.00;3.00;3.00;2.00;1.00;1.00;1.00;3.00;1.00;1.00;1.00;2.00;1.00;3.00;3.29;1.22;0
1.00;0.00;1.00;3.00;28.04;1.00;3.00;3.00;4.00;3.00;3.00;4.00;1.00;4.00;2.00;3.00;1.00;2.00;2.00;4.00;1.00;3.00;3.14;2.33;0
1.00;0.00;1.00;3.00;34.64;1.00;3.00;3.00;2.00;4.00;3.00;3.00;3.00;3.00;2.00;2.00;1.00;3.00;2.00;4.00;2.00;3.00;2.86;2.56;0
2.00;0.00;1.00;3.00;6.76;1.00;3.00;3.00;4.00;3.00;3.00;3.00;1.00;3.00;2.00;3.00;1.00;2.00;2.00;3.00;2.00;2.00;3.00;2.11;0
2.00;0.00;1.00;4.00;33.26;1.00;3.00;2.00;1.00;4.00;3.00;3.00;4.00;4.00;1.00;4.00;1.00;2.00;1.00;3.00;1.00;4.00;3.00;2.22;0
2.00;0.00;1.00;4.00;23.91;1.00;3.00;2.00;2.00;3.00;5.00;4.00;5.00;4.00;3.00;1.00;2.00;1.00;1.00;4.00;3.00;3.00;2.71;3.00;0
2.00;0.00;1.00;5.00;16.62;1.00;3.00;3.00;1.00;3.00;3.00;4.00;1.00;1.00;1.00;2.00;1.00;1.00;1.00;2.00;1.00;3.00;2.57;1.44;0
1.00;0.00;1.00;5.00;21.62;1.00;3.00;4.00;3.00;4.00;4.00;2.00;2.00;2.00;3.00;4.00;3.00;2.00;2.00;2.00;2.00;3.00;3.57;2.22;0
1.00;0.00;1.00;5.00;10.95;1.00;3.00;3.00;4.00;4.00;4.00;2.00;3.00;3.00;2.00;4.00;2.00;3.00;2.00;2.00;2.00;4.00;3.71;2.33;0
1.00;0.00;1.00;5.00;26.53;1.00;3.00;4.00;4.00;4.00;4.00;1.00;2.00;2.00;1.00;5.00;1.00;3.00;1.00;1.00;1.00;4.00;4.00;1.44;0
2.00;0.00;1.00;6.00;23.80;1.00;3.00;3.00;3.00;3.00;2.00;1.00;2.00;2.00;1.00;4.00;2.00;1.00;2.00;2.00;1.00;3.00;3.00;1.56;0
2.00;0.00;1.00;1.00;17.55;1.00;4.00;4.00;4.00;3.00;3.00;2.00;1.00;2.00;1.00;4.00;1.00;3.00;1.00;2.00;1.00;4.00;3.71;1.56;0
2.00;0.00;1.00;3.00;18.59;1.00;4.00;4.00;3.00;3.00;3.00;3.00;2.00;3.00;2.00;4.00;1.00;3.00;1.00;2.00;1.00;3.00;3.43;2.00;0
1.00;0.00;1.00;4.00;15.48;1.00;4.00;3.00;4.00;3.00;4.00;2.00;3.00;3.00;2.00;4.00;1.00;2.00;2.00;1.00;2.00;3.00;3.57;2.00;0
2.00;0.00;1.00;4.00;18.34;1.00;4.00;4.00;3.00;3.00;5.00;2.00;1.00;2.00;2.00;2.00;1.00;2.00;1.00;2.00;1.00;2.00;3.29;1.56;0
1.00;0.00;1.00;4.00;5.82;1.00;4.00;3.00;3.00;3.00;3.00;1.00;1.00;1.00;1.00;4.00;1.00;1.00;1.00;1.00;1.00;4.00;3.43;1.00;0
2.00;0.00;1.00;4.00;25.16;1.00;4.00;2.00;3.00;4.00;3.00;2.00;4.00;4.00;1.00;4.00;1.00;2.00;1.00;1.00;1.00;3.00;3.29;1.89;0
2.00;0.00;1.00;5.00;42.51;1.00;4.00;3.00;2.00;4.00;4.00;1.00;1.00;1.00;1.00;5.00;1.00;1.00;1.00;1.00;1.00;5.00;3.86;1.00;0
1.00;0.00;1.00;5.00;32.54;1.00;4.00;4.00;4.00;4.00;4.00;1.00;1.00;1.00;1.00;4.00;1.00;2.00;1.00;2.00;1.00;4.00;4.00;1.22;0
2.00;0.00;1.00;5.00;3.21;1.00;4.00;4.00;3.00;4.00;2.00;2.00;1.00;1.00;1.00;4.00;1.00;1.00;1.00;1.00;2.00;4.00;3.57;1.22;0
2.00;0.00;1.00;5.00;17.16;1.00;4.00;4.00;5.00;4.00;3.00;2.00;2.00;3.00;1.00;2.00;1.00;1.00;1.00;3.00;2.00;4.00;3.71;1.78;0
2.00;0.00;1.00;5.00;15.14;1.00;4.00;4.00;3.00;4.00;3.00;2.00;1.00;1.00;1.00;3.00;1.00;2.00;1.00;1.00;1.00;3.00;3.43;1.22;0
1.00;0.00;1.00;1.00;22.00;1.00;5.00;5.00;5.00;4.00;4.00;1.00;1.00;1.00;1.00;5.00;1.00;1.00;1.00;1.00;1.00;5.00;4.71;1.00;0
1.00;0.00;1.00;4.00;48.83;1.00;5.00;5.00;5.00;5.00;5.00;1.00;4.00;1.00;1.00;5.00;1.00;1.00;1.00;1.00;1.00;5.00;5.00;1.33;0
2.00;0.00;1.00;5.00;39.41;1.00;5.00;5.00;5.00;5.00;5.00;2.00;1.00;1.00;1.00;4.00;1.00;1.00;1.00;1.00;1.00;5.00;4.86;1.11;0
2.00;0.00;1.00;5.00;40.12;1.00;5.00;5.00;5.00;5.00;5.00;4.00;3.00;2.00;1.00;3.00;1.00;1.00;1.00;5.00;2.00;4.00;4.57;2.22;0
1.00;0.00;1.00;5.00;5.93;1.00;5.00;3.00;5.00;5.00;4.00;1.00;1.00;3.00;1.00;5.00;1.00;2.00;1.00;1.00;1.00;4.00;4.43;1.33;0
1.00;0.00;1.00;6.00;7.09;1.00;5.00;3.00;2.00;5.00;5.00;1.00;3.00;1.00;1.00;4.00;1.00;3.00;1.00;1.00;1.00;3.00;3.86;1.44;0
1.00;1.00;1.00;#LEEG!;26.32;0.00;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0
2.00;1.00;1.00;#LEEG!;25.16;0.00;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0
2.00;1.00;1.00;#LEEG!;28.89;0.00;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0
1.00;1.00;1.00;#LEEG!;22.50;0.00;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0
2.00;1.00;1.00;5.00;5.07;1.00;1.00;1.00;3.00;2.00;4.00;3.00;3.00;3.00;1.00;3.00;1.00;2.00;1.00;2.00;1.00;1.00;2.14;1.89;0
2.00;1.00;1.00;4.00;8.91;1.00;2.00;1.00;1.00;3.00;3.00;1.00;3.00;3.00;1.00;3.00;1.00;1.00;1.00;1.00;1.00;2.00;2.14;1.44;0
1.00;1.00;1.00;5.00;5.27;1.00;2.00;3.00;2.00;2.00;3.00;4.00;3.00;4.00;3.00;3.00;3.00;5.00;3.00;3.00;3.00;2.00;2.43;3.44;0
2.00;1.00;1.00;5.00;7.74;1.00;2.00;2.00;2.00;3.00;3.00;3.00;3.00;5.00;1.00;3.00;1.00;2.00;1.00;4.00;1.00;3.00;2.57;2.33;0
2.00;1.00;1.00;6.00;17.52;1.00;2.00;2.00;2.00;2.00;3.00;4.00;3.00;2.00;2.00;2.00;2.00;3.00;2.00;3.00;3.00;3.00;2.29;2.67;0
2.00;1.00;1.00;2.00;5.31;1.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;0
1.00;1.00;1.00;2.00;4.90;1.00;3.00;3.00;3.00;3.00;4.00;4.00;3.00;2.00;1.00;5.00;2.00;2.00;2.00;4.00;1.00;3.00;3.43;2.33;0
1.00;1.00;1.00;4.00;11.90;1.00;3.00;2.00;3.00;4.00;4.00;3.00;3.00;2.00;2.00;4.00;1.00;2.00;1.00;2.00;1.00;3.00;3.29;1.89;0
2.00;1.00;1.00;4.00;19.73;1.00;3.00;2.00;3.00;4.00;3.00;1.00;4.00;4.00;1.00;4.00;2.00;3.00;1.00;1.00;1.00;4.00;3.29;2.00;0
2.00;1.00;1.00;5.00;11.17;1.00;3.00;3.00;3.00;3.00;3.00;1.00;2.00;2.00;2.00;4.00;2.00;4.00;1.00;1.00;1.00;4.00;3.29;1.78;0
1.00;1.00;1.00;5.00;17.58;1.00;3.00;2.00;2.00;3.00;2.00;1.00;4.00;4.00;1.00;3.00;2.00;4.00;1.00;2.00;1.00;3.00;2.57;2.22;0
2.00;1.00;1.00;5.00;5.57;1.00;3.00;2.00;2.00;4.00;3.00;1.00;4.00;4.00;1.00;3.00;1.00;1.00;1.00;1.00;1.00;3.00;2.86;1.67;0
1.00;1.00;1.00;6.00;9.84;1.00;3.00;1.00;4.00;4.00;3.00;1.00;3.00;1.00;1.00;4.00;2.00;1.00;5.00;3.00;1.00;3.00;3.14;2.00;0
1.00;1.00;1.00;6.00;9.39;1.00;3.00;3.00;4.00;4.00;3.00;1.00;1.00;2.00;1.00;4.00;1.00;1.00;1.00;1.00;1.00;4.00;3.57;1.11;0
1.00;1.00;1.00;1.00;11.49;1.00;4.00;3.00;3.00;4.00;4.00;2.00;2.00;2.00;1.00;4.00;1.00;2.00;1.00;1.00;1.00;4.00;3.71;1.44;0
1.00;1.00;1.00;1.00;10.15;1.00;4.00;5.00;5.00;3.00;3.00;1.00;1.00;1.00;1.00;2.00;1.00;1.00;1.00;2.00;1.00;4.00;3.71;1.11;0
2.00;1.00;1.00;3.00;6.86;1.00;4.00;4.00;3.00;3.00;3.00;1.00;1.00;1.00;1.00;3.00;1.00;1.00;1.00;1.00;1.00;4.00;3.43;1.00;0
1.00;1.00;1.00;4.00;10.25;1.00;4.00;4.00;4.00;3.00;3.00;4.00;1.00;1.00;1.00;2.00;1.00;3.00;1.00;4.00;3.00;3.00;3.29;2.11;0
1.00;1.00;1.00;4.00;16.00;1.00;4.00;4.00;4.00;3.00;4.00;1.00;1.00;1.00;1.00;4.00;1.00;1.00;1.00;1.00;1.00;3.00;3.71;1.00;0
1.00;1.00;1.00;5.00;8.18;1.00;4.00;3.00;2.00;4.00;3.00;2.00;2.00;2.00;1.00;4.00;1.00;2.00;1.00;1.00;1.00;4.00;3.43;1.44;0
1.00;1.00;1.00;5.00;2.11;1.00;4.00;3.00;3.00;4.00;3.00;1.00;3.00;3.00;1.00;5.00;1.00;2.00;1.00;1.00;1.00;4.00;3.71;1.56;0
1.00;1.00;1.00;5.00;13.52;1.00;4.00;4.00;4.00;5.00;5.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;5.00;4.00;1.00;0
2.00;1.00;1.00;5.00;14.76;1.00;4.00;1.00;4.00;4.00;4.00;1.00;1.00;2.00;1.00;4.00;1.00;1.00;1.00;1.00;1.00;4.00;3.57;1.11;0
1.00;1.00;1.00;6.00;7.44;1.00;4.00;4.00;4.00;4.00;5.00;3.00;2.00;3.00;2.00;4.00;2.00;3.00;2.00;2.00;2.00;4.00;4.14;2.33;0
1.00;1.00;1.00;6.00;11.97;1.00;4.00;3.00;3.00;4.00;5.00;2.00;1.00;1.00;1.00;4.00;1.00;2.00;1.00;2.00;1.00;3.00;3.71;1.33;0
2.00;1.00;1.00;6.00;5.36;1.00;4.00;2.00;2.00;4.00;5.00;1.00;3.00;3.00;1.00;4.00;1.00;1.00;1.00;1.00;1.00;4.00;3.57;1.44;0
1.00;1.00;1.00;6.00;11.26;1.00;4.00;3.00;3.00;3.00;3.00;1.00;1.00;2.00;1.00;5.00;1.00;3.00;1.00;1.00;1.00;4.00;3.57;1.33;0
2.00;1.00;1.00;6.00;13.68;1.00;4.00;4.00;4.00;5.00;4.00;1.00;1.00;1.00;1.00;4.00;1.00;1.00;2.00;2.00;1.00;5.00;4.29;1.22;0
2.00;1.00;1.00;6.00;10.50;1.00;4.00;3.00;4.00;4.00;4.00;4.00;2.00;4.00;2.00;3.00;1.00;2.00;2.00;3.00;3.00;3.00;3.57;2.56;0
2.00;1.00;1.00;2.00;17.02;1.00;5.00;5.00;5.00;4.00;5.00;1.00;3.00;1.00;1.00;2.00;3.00;3.00;1.00;3.00;3.00;5.00;4.43;2.11;0
1.00;1.00;1.00;4.00;13.20;1.00;5.00;4.00;4.00;4.00;4.00;2.00;1.00;1.00;1.00;3.00;1.00;1.00;1.00;1.00;1.00;4.00;4.00;1.11;0
2.00;1.00;1.00;5.00;11.66;1.00;5.00;5.00;5.00;5.00;5.00;2.00;1.00;1.00;1.00;5.00;1.00;1.00;1.00;1.00;1.00;5.00;5.00;1.11;0
